,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
155,2,3,0,3,0,0,0,0,0,1.0,Harvey Beaton,22.0,1.0,3.0,HB323937,0.0,0.0,0
156,0,1,0,2,0,0,0,0,0,1.0,Nick Isiekwe,16.0,1.0,5.0,NI437601,0.0,0.0,0
157,16,6,1,6,0,0,0,0,0,1.0,Jackson Wray,61.0,1.0,8.0,JW399145,0.0,0.0,0
158,0,1,23,1,0,0,0,0,0,1.0,Aled Davies,24.0,1.0,9.0,AD709542,0.0,0.0,0
159,5,4,4,0,0,0,0,1,0,1.0,Nick Tompkins,24.0,1.0,12.0,NT897139,0.0,0.0,0
160,14,2,1,0,0,0,0,0,0,1.0,Elliot Obatoyinbo,12.0,1.0,11.0,EO460230,0.0,0.0,0
161,6,3,1,3,1,0,0,0,0,0.0,Emiliano Boffelli,80.0,0.0,15.0,EB810644,3.0,0.0,1
162,6,2,3,1,1,0,0,0,0,0.0,Jack Blain,80.0,0.0,14.0,JB267624,0.0,0.0,0
163,6,1,0,4,0,0,0,0,0,0.0,Mark Bennett,80.0,0.0,13.0,MB765983,0.0,0.0,0
164,6,4,1,5,1,0,0,0,0,0.0,James Lang,41.0,0.0,12.0,JL287733,0.0,0.0,0
165,22,3,1,3,2,0,0,1,1,0.0,Ramiro Moyano,80.0,0.0,11.0,RM431969,0.0,1.0,0
166,2,4,4,6,1,0,1,0,0,0.0,Charlie Savala,74.0,0.0,10.0,CS276016,0.0,0.0,0
167,0,0,28,1,1,0,0,0,0,0.0,Ben Vellacott,52.0,0.0,9.0,BV486413,0.0,0.0,0
168,0,3,2,11,0,0,0,0,0,0.0,Pierre Schoeman,58.0,0.0,1.0,PS298811,0.0,0.0,0
169,7,5,0,2,1,0,0,0,0,0.0,Stuart McInally,58.0,0.0,2.0,SM530829,0.0,0.0,0
170,3,4,0,7,1,1,0,0,0,0.0,WP Nel,68.0,0.0,3.0,WN551420,0.0,1.0,0
171,0,0,1,9,0,0,0,0,0,0.0,Marshall Sykes,58.0,0.0,4.0,MS376964,0.0,0.0,0
172,0,2,2,13,0,0,0,0,0,0.0,Grant Gilchrist,80.0,0.0,5.0,GG620359,0.0,0.0,0
173,4,5,2,16,1,1,0,0,0,0.0,Luke Crosbie,80.0,0.0,6.0,LC482259,0.0,0.0,0
174,0,6,4,10,0,1,0,0,0,0.0,Hamish Watson,41.0,0.0,7.0,HW157577,0.0,0.0,0
175,38,10,2,9,0,0,0,0,0,0.0,Nick Haining,80.0,0.0,8.0,NH963068,0.0,0.0,0
176,5,2,0,6,0,0,0,0,0,0.0,Dave Cherry,22.0,1.0,2.0,DC272753,0.0,0.0,0
177,0,0,0,3,0,1,0,0,0,0.0,Boan Venter,22.0,1.0,1.0,AV209730,0.0,0.0,0
178,0,1,0,3,1,0,0,0,0,0.0,Lee-Roy Atalifo,80.0,0.0,18.0,LA101387,0.0,0.0,0
179,0,0,1,7,0,0,0,0,0,0.0,Jamie Hodgson,22.0,1.0,4.0,JH989662,0.0,0.0,0
180,0,5,0,7,0,0,0,0,0,0.0,Magnus Bradbury,39.0,1.0,7.0,MB495148,0.0,0.0,0
181,0,0,12,1,0,1,0,0,0,0.0,Henry Pyrgos,28.0,1.0,9.0,HP478714,0.0,0.0,0
182,0,0,0,1,0,0,0,0,0,0.0,Jaco van der Walt,6.0,1.0,10.0,JV805617,0.0,0.0,0
183,0,0,0,3,0,0,0,0,0,0.0,Cameron Hutchison,39.0,1.0,12.0,CH195542,0.0,0.0,0
184,4,6,5,7,2,2,0,1,1,1.0,Lucas Dubois,80.0,0.0,15.0,LD941653,0.0,0.0,0
185,33,6,3,5,1,0,0,0,1,1.0,Jean-Bernard Pujol,80.0,0.0,14.0,JP478841,0.0,0.0,0
186,0,0,0,2,0,0,0,0,0,1.0,Emmanuel Vaitulukina,11.0,0.0,13.0,EV850351,0.0,0.0,0
187,5,3,2,9,3,0,0,1,0,1.0,Edward Sawailau,48.0,0.0,12.0,ES897698,0.0,0.0,0
188,32,1,0,4,1,0,0,0,1,1.0,Nino Seguela,42.0,0.0,11.0,NS296984,0.0,0.0,0
189,15,6,16,6,1,2,0,0,0,1.0,Patricio Fernandez,80.0,0.0,10.0,PF291627,0.0,0.0,0
190,2,3,35,3,0,0,0,0,0,1.0,Martin Landajo,47.0,0.0,9.0,ML854857,0.0,0.0,0
191,0,2,0,5,2,0,0,0,0,1.0,Charlesty Berguet,41.0,0.0,1.0,CB165930,0.0,0.0,0
192,0,1,1,2,0,0,0,0,0,1.0,Seilala Lam,42.0,0.0,2.0,SL738840,0.0,0.0,0
193,0,1,0,5,1,0,0,0,0,1.0,Akato Fakatika,41.0,0.0,3.0,AF443616,0.0,0.0,0
194,3,4,4,12,2,0,0,0,0,1.0,Tristan Labouteley,80.0,0.0,4.0,TL189834,0.0,0.0,0
195,8,9,5,10,2,2,0,2,0,1.0,Tevita Cavubati,52.0,0.0,5.0,TC232967,0.0,0.0,0
196,29,11,2,16,1,1,0,1,0,1.0,Nafitalai Maafu,80.0,0.0,6.0,NM924806,0.0,0.0,0
197,30,10,4,7,1,2,0,0,0,1.0,Ewan Bertheau,80.0,0.0,7.0,EB801749,0.0,0.0,0
198,1,1,2,11,3,1,0,0,0,1.0,Matthieu Ugena,47.0,0.0,8.0,MU237028,0.0,0.0,0
199,20,6,1,7,0,2,0,0,0,1.0,Victor Montgaillard,38.0,1.0,2.0,VM309364,0.0,0.0,0
200,0,1,0,2,1,0,0,0,0,1.0,Sami Mavinga,39.0,1.0,1.0,SM732679,0.0,0.0,0
201,5,5,0,4,0,0,0,0,0,1.0,Vakhtang Jincharadze,39.0,1.0,3.0,VJ764575,0.0,0.0,0
202,10,4,1,1,0,0,0,0,0,1.0,Andrei Mahu,28.0,1.0,5.0,AM539978,1.0,1.0,1
203,5,4,1,6,0,1,0,0,0,1.0,Guillem Montagne,33.0,1.0,8.0,GM234527,0.0,0.0,0
204,14,1,30,1,0,0,1,0,1,1.0,Tom Ecochard,33.0,1.0,9.0,TE440019,0.0,1.0,0
205,30,3,3,1,0,0,0,0,0,1.0,Matteo Rodor,32.0,1.0,12.0,MR424904,0.0,0.0,0
206,52,5,0,10,1,0,0,0,0,1.0,Baptiste Plana,69.0,1.0,13.0,BP147201,0.0,0.0,0
207,43,5,8,1,0,0,0,1,0,0.0,Jonah Holmes,80.0,0.0,15.0,JH748475,0.0,0.0,0
208,25,6,3,2,1,0,0,0,0,0.0,Rio Dyer,80.0,0.0,14.0,RD475362,0.0,0.0,0
209,38,10,5,8,1,1,0,0,0,0.0,Adam Warren,65.0,0.0,13.0,AW199299,0.0,0.0,0
210,38,6,10,5,0,0,0,0,0,0.0,Aneurin Owen,54.0,0.0,12.0,AO367652,0.0,0.0,0
211,52,5,2,1,0,0,0,2,0,0.0,Jordan Olowofela,58.0,0.0,11.0,JO728604,0.0,0.0,0
212,22,7,28,13,2,0,0,0,0,0.0,Sam Davies,80.0,0.0,10.0,SD611403,3.0,0.0,1
213,37,4,55,6,0,0,0,1,1,0.0,Tavis Knoyle,65.0,0.0,9.0,TK211349,0.0,0.0,0
