,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,defenders_beaten,try_assists,offloads,clean_breaks,lineouts_won,lineouts_stolen,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
167,12,9,3,4,0,0,2,0,0,0,0,0,0,0,Agustin Creevy,57,0,2,AC686044,0,0,0
168,5,2,1,5,0,0,1,0,0,0,0,0,0,0,Marcel van der Merwe,49,0,3,MV684998,0,0,0
169,8,4,13,7,0,0,0,0,0,2,0,8,1,0,Rob Simmons,80,0,4,RS692558,0,0,0
170,9,7,5,3,1,0,0,0,0,0,0,2,1,0,Adam Coleman,59,0,5,AC555217,0,0,0
171,28,6,2,5,0,2,0,3,0,0,0,1,0,0,Matt Rogerson,80,0,6,MR143478,0,0,0
172,35,7,4,7,1,0,2,0,0,0,0,0,0,0,Ben Donnell,80,0,7,BD596167,0,0,0
173,37,14,4,3,0,0,0,1,0,0,0,0,0,0,Albert Tuisue,80,0,8,AT971709,0,1,0
174,6,1,0,2,0,1,0,0,0,0,0,0,0,0,Matthew Cornish,23,1,2,MC439899,0,0,0
175,0,0,0,2,1,0,1,0,0,0,0,0,0,0,Allan Dell,23,1,1,AD320497,0,0,0
176,18,7,0,0,0,0,0,1,0,0,0,0,0,0,Oli Hoskins,31,1,3,OH113242,0,2,0
177,3,4,2,1,1,0,0,1,0,0,0,2,0,0,George Nott,21,1,5,GN175262,0,0,0
178,19,1,31,2,2,0,0,0,0,0,0,0,0,0,Hugh O'Sullivan,23,1,9,HO175730,0,0,0
179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matt Williams,6,1,13,MW238220,0,0,0
180,0,1,1,1,0,0,0,1,0,1,0,0,0,0,James Stokes,6,1,15,JS534314,0,0,0
181,13,3,0,2,0,0,0,0,0,0,0,0,0,1,Simon Hammersley,47,0,15,SH416986,0,0,0
182,33,9,2,2,4,0,2,3,0,0,1,0,0,1,Byron McGuigan,80,0,14,BM731353,0,1,0
183,8,5,12,5,4,1,1,1,0,4,0,0,0,1,Sam James,80,0,13,SJ271806,0,0,0
184,22,13,5,4,1,0,0,0,0,1,0,0,0,1,Manu Tuilagi,80,0,12,ET402595,0,0,0
185,46,5,1,4,1,0,1,3,0,1,0,0,0,1,Marland Yarde,80,0,11,MY998705,0,0,0
186,20,3,17,5,0,1,3,2,0,0,1,0,0,1,Robert du Preez,70,0,10,RD775282,1,0,0
187,59,3,20,1,0,0,1,2,1,1,2,0,1,1,Raffi Quirke,38,0,9,RQ226339,0,0,0
188,0,1,2,7,0,1,1,0,0,0,0,0,0,1,Bevan Rodd,51,0,1,BR106791,0,0,0
189,34,5,3,4,0,0,0,1,0,3,0,0,0,1,Akker van der Merwe,52,0,2,AV262395,0,1,0
190,0,0,0,10,0,0,0,0,0,0,0,0,0,1,Nic Schonert,69,0,3,NS357337,0,0,0
191,16,4,2,6,1,0,1,3,0,1,0,1,0,1,Cobus Wiese,80,0,4,CW874773,0,0,0
192,6,4,3,7,2,1,1,1,0,0,0,9,0,1,JP du Preez,80,0,5,JD337564,0,0,0
193,40,11,4,7,0,0,0,0,0,0,0,0,0,1,Cameron Neild,80,0,6,CN140281,0,0,0
194,0,1,0,4,1,0,0,0,0,0,0,0,0,1,Ben Curry,26,0,7,BC789861,0,0,0
195,7,8,5,13,0,0,1,2,0,0,0,3,0,1,Jono Ross,80,0,8,JR404876,0,0,0
196,9,1,3,1,2,0,0,0,0,0,1,0,0,1,Tommy Taylor,28,1,2,TT868712,0,0,0
197,0,1,0,6,1,0,0,0,0,0,0,0,0,1,Ross Harrison,29,1,1,RH166237,0,0,0
198,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Callum Ford,11,1,3,CF355499,0,0,0
199,3,1,1,11,1,0,0,0,0,0,0,0,0,1,Sam Dugdale,54,1,7,SD543208,0,0,0
200,13,2,27,4,4,0,1,2,0,1,1,0,0,1,Will Cliff,42,1,9,WC513109,0,0,0
201,0,1,2,0,0,0,0,0,0,0,0,0,0,1,Kieran Wilkinson,10,1,10,KW495016,1,0,0
202,82,8,7,1,3,0,2,3,0,2,1,0,0,0,Tom de Glanville,80,0,15,TD954271,0,0,0
203,76,10,5,2,1,0,0,2,0,1,0,0,0,0,Semesa Rokoduguni,80,0,14,SR807974,0,0,0
204,0,4,8,5,0,0,2,0,0,1,0,0,0,0,Jonathan Joseph,80,0,13,JJ955541,0,0,0
205,9,3,9,5,2,0,1,2,0,0,0,0,0,0,Max Ojomoh,80,0,12,MO777296,0,0,0
206,44,7,4,4,1,1,0,4,0,2,2,0,0,0,Will Muir,80,0,11,WM393290,0,0,0
207,1,1,14,6,2,0,0,0,0,0,0,0,0,0,Danny Cipriani,49,0,10,DC465823,2,0,0
208,0,1,15,1,0,0,1,0,0,0,0,0,0,0,Ben Spencer,20,0,9,BS666177,0,0,0
209,6,4,6,3,0,0,0,0,0,0,1,0,0,0,Beno Obano,48,0,1,OO523934,0,0,0
210,14,6,3,3,1,0,0,0,0,0,0,0,0,0,Tom Dunn,67,0,2,TD115446,0,0,0
211,4,3,0,3,1,0,0,0,0,0,0,0,0,0,Johannes Jonker,59,0,3,JJ601801,0,0,0
212,5,3,3,7,1,0,2,1,0,0,0,1,0,0,Mike Williams,48,0,4,MW851045,0,0,0
213,10,5,8,11,3,1,1,0,0,0,0,3,0,0,Charlie Ewels,80,0,5,CE445208,0,0,0
214,28,5,3,4,1,2,0,1,0,1,0,0,0,0,Miles Reid,57,0,6,MR513023,0,0,0
215,83,13,7,11,1,1,0,3,0,3,1,0,0,0,Sam Underhill,80,0,7,SU111318,0,0,0
216,25,5,7,12,0,0,1,0,0,0,0,5,0,0,Josh Bayliss,80,0,8,JB479472,0,0,0
217,3,1,1,1,0,0,0,0,0,0,0,0,0,0,Jacques du Toit,13,1,2,OD584504,0,0,0
218,18,3,2,1,0,0,0,2,0,0,1,0,0,0,Juan Schoeman,32,1,1,JS373669,0,1,0
219,0,2,1,4,0,0,0,0,0,1,0,0,0,0,D'Arcy Rae,21,1,3,DR109344,0,0,0
220,0,0,0,7,1,0,0,0,0,0,0,0,0,0,Tom Ellis,32,1,4,TE514890,0,0,0
221,27,9,1,1,0,0,0,3,0,1,0,0,0,0,Jaco Coetzee,23,1,6,JC452547,0,0,0
222,22,3,40,2,2,0,1,0,0,0,0,0,0,0,Ollie Fox,60,1,9,OF659232,0,0,0
223,0,2,5,2,0,0,1,1,0,0,0,0,0,0,Orlando Bailey,31,1,10,OB938390,2,0,0
224,55,10,3,1,2,0,3,2,0,0,0,0,0,1,Tom Penny,80,0,15,TP431285,0,0,0
225,129,9,4,4,2,2,1,10,1,0,3,0,0,1,Adam Radwan,80,0,14,AR914169,0,1,0
226,6,5,4,3,1,0,1,1,0,2,0,0,0,1,Ben Stevenson,80,0,13,BS407552,0,0,0
227,8,3,4,10,1,0,1,1,0,0,0,0,0,1,Pete Lucock,80,0,12,PL480020,0,0,0
228,61,7,1,5,3,0,1,7,0,0,1,0,0,1,Iwan Stephens,80,0,11,IS802443,0,1,0
229,0,2,11,10,2,0,2,0,1,0,0,0,0,1,Brett Connon,72,0,10,BC715151,0,0,0
230,44,3,41,3,0,0,2,0,0,0,0,0,0,1,Louis Schreuder,72,0,9,LS101938,0,1,0
231,1,4,0,2,2,0,0,0,0,0,0,0,0,1,Logovi'i Mulipola,52,0,1,LM816589,0,0,0
232,8,3,3,9,1,1,1,0,0,0,0,0,0,1,George McGuigan,65,0,2,GM717660,0,0,0
233,11,2,1,3,1,1,0,0,0,1,0,0,0,1,Trevor Davison,51,0,3,TD547427,0,0,0
234,1,4,1,4,0,0,2,0,0,0,0,2,0,1,Greg Peterson,65,0,4,GP926844,0,0,0
235,32,7,6,4,0,0,1,1,1,0,1,7,1,1,Sean Robinson,80,0,5,SR726850,0,0,0
236,14,3,2,7,2,1,0,0,0,0,0,0,1,1,Philip van der Walt,72,0,6,CV871679,0,0,0
237,2,3,2,15,0,0,0,0,0,0,0,0,0,1,Will Welch,80,0,7,WW657895,0,0,0
238,6,15,7,11,0,0,0,3,0,0,0,0,0,1,Carl Fearns,80,0,8,CF997884,0,0,0
239,12,5,1,1,0,0,0,0,0,1,0,0,0,1,Jamie Blamire,15,1,2,JB951848,0,0,0
240,8,2,1,2,0,1,0,2,0,0,0,0,0,1,Kyle Cooper,28,1,1,KC290866,0,0,0
241,2,1,0,4,1,0,0,0,0,0,0,0,0,1,Mark Tampin,29,1,3,MT656123,0,0,0
242,0,0,1,3,0,0,0,0,0,0,0,2,0,1,Marco Fuser,15,1,4,MF969568,0,0,0
