,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num_x,is_sub,PlayGuid,T_per80m,TA_per80m,C_per80m,P_per80m,DG_per80m,M_per80m,CA_per80m,MK_per80m,PM_per80m,O_per80m,BTs_per80m,Kon_per80m,TM_per80m,MT_per80m,TW_per80m,TC_per80m,HE_per80m,PC_per80m,OPC_per80m,SPC_per80m,LW_per80m,LS_per80m,YC_per80m,RC_per80m,TS(%)_per80m,TW(%)_per80m,MpCA_per80m,pos_num_y
646,Gael Fickou,80.0,1.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,0.0,100.0,6.0,3.0,4.0,1.0,7.0,3.0,75.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,GF207020,1.0,0.0,0.0,0.0,0.0,50.0,6.0,0.0,6.0,3.0,4.0,1.0,7.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6666666666666666,8.333333333333334,13
647,Jonathan Danty,80.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,0.0,43.0,91.0,1.0,0.0,0.0,1.0,4.0,3.0,70.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,JD100273,0.0,0.0,0.0,0.0,0.0,54.0,8.0,43.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5,6.75,12
648,Gabin Villiere,80.0,0.0,0.0,0.0,0.0,0.0,65.0,7.0,0.0,0.0,100.0,3.0,2.0,3.0,1.0,3.0,0.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,GV604147,0.0,0.0,0.0,0.0,0.0,65.0,7.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,9.285714285714286,11
649,Romain Ntamack,80.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0,238.0,81.0,19.0,0.0,2.0,0.0,5.0,2.0,71.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,RN981435,0.0,1.0,0.0,0.0,0.0,15.0,3.0,238.0,19.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,5.0,10
650,Antoine Dupont,76.0,1.0,0.0,0.0,0.0,0.0,51.0,6.0,0.0,618.0,77.0,48.0,2.0,2.0,0.0,12.0,2.0,88.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,AD427633,1.029693715313453,0.0,0.0,0.0,0.0,52.51437948098611,6.178162291880719,636.350716063714,49.42529833504575,2.059387430626906,2.059387430626906,0.0,12.356324583761438,2.059387430626906,0.0,1.029693715313453,1.029693715313453,1.029693715313453,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,8.5,9
651,Cyril Baille,50.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,100.0,3.0,2.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,CB879230,0.0,0.0,0.0,0.0,0.0,25.246653521143955,6.643856189774724,0.0,3.9863137138648352,2.65754247590989,0.0,0.0,13.287712379549449,0.0,0.0,0.0,1.328771237954945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.8000000000000003,1
652,Julien Marchand,50.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,100.0,3.0,0.0,0.0,1.0,8.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,JM604958,0.0,0.0,0.0,0.0,0.0,25.246653521143955,7.9726274277296705,0.0,3.9863137138648352,0.0,0.0,1.328771237954945,10.63016990363956,0.0,0.0,1.328771237954945,1.328771237954945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1666666666666665,2
653,Uini Atonio,55.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,UA499525,0.0,0.0,0.0,0.0,0.0,25.019545987709684,8.756841095698388,0.0,0.0,0.0,0.0,0.0,2.501954598770968,0.0,0.0,1.250977299385484,0.0,1.250977299385484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8571428571428577,3
654,Cameron Woki,72.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,9.0,2.0,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1,4,0,CW541496,0.0,0.0,0.0,0.0,0.0,24.437363142246422,6.3749642979773276,0.0,2.1249880993257757,0.0,0.0,0.0,9.56244644696599,2.1249880993257757,0.0,0.0,0.0,1.0624940496628879,0.0,0.0,4.249976198651551,0.0,0.0,0.0,0.8181818181818181,,3.8333333333333335,4
655,Paul Willemse,50.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,PW129932,0.0,0.0,0.0,0.0,0.0,6.643856189774724,2.65754247590989,0.0,0.0,0.0,0.0,0.0,13.287712379549449,2.65754247590989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,,2.4999999999999996,5
