,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
6077,20,5,22,9,5,0,0,3,0,0,0,0,0,1,James Grayson,80,0,10,JG791693,20.0,5.0,22.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6428571428571429,0.0,0.6,10.0
6078,78,7,70,1,2,0,2,3,1,2,2,0,0,1,Alex Mitchell,65,0,9,AM990246,88.05912484957562,7.9027419736798645,79.02741973679865,1.1289631390971235,2.257926278194247,0.0,2.257926278194247,3.3868894172913704,1.1289631390971235,2.257926278194247,2.257926278194247,0.0,0.0,11.142857142857142,0.33333333333333337,0.0,0.42857142857142855,9.0
6079,12,6,0,14,2,0,0,1,0,0,0,0,0,1,Emmanuel Iyogun,80,0,1,EI265798,12.0,6.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.875,0.0,0.16666666666666666,1.0
6080,0,1,6,16,2,0,2,1,0,0,0,0,0,1,Mike Haywood,74,0,2,MH943718,0.0,1.0456762936618211,6.274057761970927,16.730820698589138,2.0913525873236423,0.0,2.0913525873236423,1.0456762936618211,0.0,0.0,0.0,0.0,0.0,0.0,0.888888888888889,0.0,1.0,2.0
6081,0,0,0,2,0,0,0,0,0,0,0,0,0,1,Conor Carey,10,0,3,CC705639,0.0,0.0,0.0,8.407379634890452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
6082,12,4,1,9,0,0,1,0,0,0,0,0,0,1,Alex Coles,38,0,4,AC890060,19.09093621740555,6.36364540580185,1.5909113514504625,14.318202163054162,0.0,0.0,1.5909113514504625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0
6083,21,12,14,12,4,1,0,0,0,3,0,7,0,1,Api Ratuniyarawa,80,0,5,AR118579,21.0,12.0,14.0,12.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,1.75,0.75,1.0,0.0,5.0
6084,20,10,8,10,3,1,1,1,0,1,0,5,0,1,Courtney Lawes,80,0,6,CL794376,20.0,10.0,8.0,10.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,0.7692307692307693,0.5,0.1,6.0
6085,32,18,6,5,3,0,0,4,1,0,1,1,0,1,Lewis Ludlam,80,0,7,LL840089,32.0,18.0,6.0,5.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.7777777777777777,0.625,0.0,0.2222222222222222,7.0
6086,11,1,0,1,0,0,0,0,0,0,0,0,0,1,Juarno Augustus,5,0,8,JA894551,79.85046249066858,7.259132953697143,0.0,7.259132953697143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,8.0
6087,0,0,0,2,1,0,0,0,0,0,0,0,0,1,James Fish,6,1,2,JF794080,0.0,0.0,0.0,12.549381404393054,6.274690702196527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0
6088,2,3,3,8,2,0,0,0,0,0,0,0,0,1,Alex Waller,59,1,9,AW666449,2.3951364163897115,3.5927046245845675,3.5927046245845675,9.580545665558846,2.3951364163897115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,0.0,0.0,1.0
6089,9,2,0,1,0,0,0,0,0,0,0,0,0,1,Paul Hill,70,1,3,PH646364,9.721921149869784,2.1604269221932855,0.0,1.0802134610966427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,0.0,0.0,3.0
6090,16,6,2,7,3,0,0,0,0,0,0,0,1,1,Alex Moon,42,1,4,AM144508,23.812487411358916,8.929682779259593,2.9765609264198645,10.417963242469526,4.464841389629797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4882804632099322,2.6666666666666665,0.7,0.0,0.0,5.0
6091,24,11,1,20,1,3,0,4,0,0,0,1,0,1,Aaron Hinkley,75,1,8,AH930339,24.902027941735557,11.413429473295462,1.0375844975723147,20.751689951446295,1.0375844975723147,3.1127534927169447,0.0,4.150337990289259,0.0,0.0,0.0,1.0375844975723147,0.0,2.181818181818182,0.9523809523809523,1.0,0.36363636363636365,7.0
6092,0,0,23,1,0,0,0,0,0,0,0,0,0,1,Tom James,15,1,9,TJ707333,0.0,0.0,71.02881124484179,3.088209184558339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
