idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub
408,272,2,28,0,0,0,0,9,1,3,0,1,2,0,0,0,0,0,1,1,1
409,272,1,29,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,1
1575,272,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
412,272,7,54,0,0,0,0,3,1,1,0,11,1,0,0,0,0,0,0,1,1
831,272,9,42,0,0,0,0,13,2,27,1,4,4,0,1,0,0,2,1,1,1
830,272,10,10,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1
238,272,15,80,0,0,0,0,82,8,7,2,1,3,0,2,0,0,3,1,0,0
239,272,14,80,0,0,0,0,76,10,5,1,2,1,0,0,0,0,2,0,0,0
741,272,13,80,0,0,0,0,0,4,8,1,5,0,0,2,0,0,0,0,0,0
241,272,12,80,0,0,0,0,9,3,9,0,5,2,0,1,0,0,2,0,0,0
1576,272,11,80,0,0,0,0,44,7,4,2,4,1,1,0,0,0,4,2,0,0
1522,272,10,49,0,0,0,2,1,1,14,0,6,2,0,0,0,0,0,0,0,0
244,272,9,20,0,0,0,0,0,1,15,0,1,0,0,1,0,0,0,0,0,0
1577,272,1,48,0,0,0,0,6,4,6,0,3,0,0,0,0,0,0,1,0,0
250,272,2,67,0,0,0,0,14,6,3,0,3,1,0,0,0,0,0,0,0,0
746,272,3,59,0,0,0,0,4,3,0,0,3,1,0,0,0,0,0,0,0,0
747,272,4,48,0,0,0,0,5,3,3,0,7,1,0,2,1,0,1,0,0,0
87,272,5,80,0,0,0,0,10,5,8,0,11,3,1,1,3,0,0,0,0,0
1578,272,6,57,0,0,0,0,28,5,3,1,4,1,2,0,0,0,1,0,0,0
193,272,7,80,0,0,0,0,83,13,7,3,11,1,1,0,0,0,3,1,0,0
191,272,8,80,0,0,0,0,25,5,7,0,12,0,0,1,5,0,0,0,0,0
246,272,2,13,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1
743,272,1,32,1,0,0,0,18,3,2,0,1,0,0,0,0,0,2,1,0,1
252,272,3,21,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,1
248,272,4,32,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1
1579,272,6,23,0,0,0,0,27,9,1,1,1,0,0,0,0,0,3,0,0,1
1580,272,9,60,0,0,0,0,22,3,40,0,2,2,0,1,0,0,0,0,0,1
243,272,10,31,0,0,0,2,0,2,5,0,2,0,0,1,0,0,1,0,0,1
981,273,15,80,0,0,0,0,55,10,3,0,1,2,0,3,0,0,2,0,1,0
984,273,14,80,1,1,0,0,129,9,4,0,4,2,2,1,0,0,10,3,1,0
1491,273,13,80,0,0,0,0,6,5,4,2,3,1,0,1,0,0,1,0,1,0
